Date and time (PDT),Metres
2022-04-19T17:12:00,4.2
2022-04-19T22:28:00,2.1
2022-04-20T04:30:00,4.8
2022-04-20T11:35:00,0.5
2022-04-20T18:06:00,4
2022-04-20T23:12:00,2.4
2022-04-21T05:09:00,4.6
2022-04-21T12:28:00,0.7
2022-04-21T19:09:00,3.8
2022-04-22T00:06:00,2.6
2022-04-22T05:57:00,4.3
2022-04-22T13:29:00,0.9
2022-04-22T20:27:00,3.7
2022-04-23T01:27:00,2.8
2022-04-23T07:04:00,4
2022-04-23T14:40:00,1.1
2022-04-23T21:48:00,3.7
2022-04-24T03:13:00,2.7
2022-04-24T08:38:00,3.8
2022-04-24T15:56:00,1.2
2022-04-24T22:55:00,3.9
2022-04-25T04:38:00,2.5
2022-04-25T10:17:00,3.8
2022-04-25T17:04:00,1.3
2022-04-25T23:47:00,4.1
2022-04-26T05:40:00,2.1
2022-04-26T11:36:00,3.9
2022-04-26T17:59:00,1.3
2022-04-27T00:29:00,4.4
2022-04-27T06:30:00,1.7
2022-04-27T12:38:00,4
2022-04-27T18:45:00,1.4
2022-04-28T01:07:00,4.5
2022-04-28T07:15:00,1.3
2022-04-28T13:30:00,4.1
2022-04-28T19:25:00,1.5
2022-04-29T01:42:00,4.7
2022-04-29T07:57:00,1
2022-04-29T14:15:00,4.2
2022-04-29T20:01:00,1.7
2022-04-30T02:13:00,4.7
2022-04-30T08:37:00,0.8
2022-04-30T14:57:00,4.2
2022-04-30T20:34:00,1.9
2022-05-01T02:42:00,4.7
2022-05-01T09:15:00,0.7
2022-05-01T15:36:00,4.2
2022-05-01T21:05:00,2.1
2022-05-02T03:07:00,4.6
2022-05-02T09:52:00,0.7
2022-05-02T16:15:00,4.1
2022-05-02T21:33:00,2.3
2022-05-03T03:30:00,4.5
2022-05-03T10:29:00,0.8
2022-05-03T16:54:00,4
2022-05-03T22:01:00,2.5
2022-05-04T03:53:00,4.4
2022-05-04T11:06:00,0.9
2022-05-04T17:36:00,3.8
2022-05-04T22:31:00,2.6
2022-05-05T04:19:00,4.2
2022-05-05T11:45:00,1.1
2022-05-05T18:23:00,3.6
2022-05-05T23:07:00,2.8
2022-05-06T04:51:00,4
2022-05-06T12:27:00,1.2
2022-05-06T19:20:00,3.5
2022-05-06T23:54:00,2.9
2022-05-07T05:32:00,3.8
2022-05-07T13:15:00,1.4
2022-05-07T20:29:00,3.5
2022-05-08T01:08:00,3
2022-05-08T06:30:00,3.6
2022-05-08T14:12:00,1.6
2022-05-08T21:40:00,3.5
2022-05-09T03:00:00,2.9
2022-05-09T07:46:00,3.4
2022-05-09T15:15:00,1.6
2022-05-09T22:35:00,3.7
2022-05-10T04:26:00,2.6
2022-05-10T09:15:00,3.4
2022-05-10T16:17:00,1.7
2022-05-10T23:17:00,3.9
2022-05-11T05:21:00,2.3
2022-05-11T10:48:00,3.4
2022-05-11T17:11:00,1.7
2022-05-11T23:52:00,4.1
2022-05-12T06:07:00,1.8
2022-05-12T12:03:00,3.6
2022-05-12T17:57:00,1.7
2022-05-13T00:26:00,4.3
2022-05-13T06:50:00,1.4
2022-05-13T13:01:00,3.9
2022-05-13T18:40:00,1.7
2022-05-14T00:59:00,4.6
2022-05-14T07:33:00,0.9
2022-05-14T13:52:00,4.1
2022-05-14T19:21:00,1.8
2022-05-15T01:32:00,4.8
2022-05-15T08:16:00,0.5
2022-05-15T14:40:00,4.2
2022-05-15T20:02:00,1.9
2022-05-16T02:07:00,5
2022-05-16T09:00:00,0.2
2022-05-16T15:28:00,4.3
2022-05-16T20:44:00,2
2022-05-17T02:45:00,5.1
2022-05-17T09:46:00,0.1
2022-05-17T16:16:00,4.3
2022-05-17T21:28:00,2.1
2022-05-18T03:25:00,5
2022-05-18T10:33:00,0.1
2022-05-18T17:06:00,4.2
2022-05-18T22:16:00,2.3
2022-05-19T04:08:00,4.9
2022-05-19T11:23:00,0.2
2022-05-19T18:01:00,4.1
2022-05-19T23:09:00,2.4
2022-05-20T04:58:00,4.6
2022-05-20T12:15:00,0.5
2022-05-20T19:01:00,4
2022-05-21T00:14:00,2.6
2022-05-21T05:55:00,4.3
2022-05-21T13:12:00,0.8
2022-05-21T20:06:00,3.9
2022-05-22T01:35:00,2.6
2022-05-22T07:05:00,4
2022-05-22T14:14:00,1.1
2022-05-22T21:12:00,4
2022-05-23T03:01:00,2.4
2022-05-23T08:30:00,3.7
2022-05-23T15:19:00,1.3
2022-05-23T22:11:00,4.1
2022-05-24T04:16:00,2.2
2022-05-24T10:00:00,3.6
2022-05-24T16:21:00,1.5
2022-05-24T23:03:00,4.3
2022-05-25T05:17:00,1.8
2022-05-25T11:20:00,3.6
2022-05-25T17:17:00,1.7
2022-05-25T23:47:00,4.4
2022-05-26T06:08:00,1.5
2022-05-26T12:25:00,3.7
2022-05-26T18:06:00,1.9
2022-05-27T00:26:00,4.5
2022-05-27T06:54:00,1.2
2022-05-27T13:19:00,3.8
2022-05-27T18:49:00,2.1
2022-05-28T01:02:00,4.6
2022-05-28T07:37:00,0.9
2022-05-28T14:05:00,3.9
2022-05-28T19:27:00,2.2
2022-05-29T01:33:00,4.6
2022-05-29T08:18:00,0.8
2022-05-29T14:47:00,4
2022-05-29T20:03:00,2.3
2022-05-30T02:01:00,4.6
2022-05-30T08:56:00,0.7
2022-05-30T15:26:00,4
2022-05-30T20:35:00,2.4
2022-05-31T02:27:00,4.5
2022-05-31T09:34:00,0.7
2022-05-31T16:05:00,4
2022-05-31T21:07:00,2.5
2022-06-01T02:52:00,4.4
2022-06-01T10:10:00,0.7
2022-06-01T16:44:00,3.9
2022-06-01T21:40:00,2.6
2022-06-02T03:20:00,4.3
2022-06-02T10:47:00,0.8
2022-06-02T17:24:00,3.8
2022-06-02T22:16:00,2.7
2022-06-03T03:53:00,4.2
2022-06-03T11:23:00,0.9
2022-06-03T18:07:00,3.7
2022-06-03T22:58:00,2.8
2022-06-04T04:31:00,4
2022-06-04T12:01:00,1.1
2022-06-04T18:53:00,3.7
2022-06-04T23:52:00,2.8
2022-06-05T05:16:00,3.8
2022-06-05T12:42:00,1.2
2022-06-05T19:43:00,3.7
2022-06-06T01:01:00,2.8
2022-06-06T06:11:00,3.6
2022-06-06T13:27:00,1.4
2022-06-06T20:34:00,3.7
2022-06-07T02:22:00,2.7
2022-06-07T07:18:00,3.4
2022-06-07T14:17:00,1.6
2022-06-07T21:22:00,3.8
2022-06-08T03:36:00,2.4
2022-06-08T08:40:00,3.3
2022-06-08T15:11:00,1.8
2022-06-08T22:07:00,4
2022-06-09T04:37:00,2
2022-06-09T10:14:00,3.3
