Date,predictions(m)
2022-07-02 00:15 PDT,3.13
2022-07-02 00:30 PDT,3.26
2022-07-02 00:45 PDT,3.39
2022-07-02 01:00 PDT,3.52
2022-07-02 01:15 PDT,3.64
2022-07-02 01:30 PDT,3.75
2022-07-02 01:45 PDT,3.85
2022-07-02 02:00 PDT,3.94
2022-07-02 02:15 PDT,4.02
2022-07-02 02:30 PDT,4.08
2022-07-02 02:45 PDT,4.14
2022-07-02 03:00 PDT,4.18
2022-07-02 03:15 PDT,4.21
2022-07-02 03:30 PDT,4.22
2022-07-02 03:45 PDT,4.23
2022-07-02 04:00 PDT,4.22
2022-07-02 04:15 PDT,4.2
2022-07-02 04:30 PDT,4.16
2022-07-02 04:45 PDT,4.1
2022-07-02 05:00 PDT,4.03
2022-07-02 05:15 PDT,3.93
2022-07-02 05:30 PDT,3.82
2022-07-02 05:45 PDT,3.69
2022-07-02 06:00 PDT,3.55
2022-07-02 06:15 PDT,3.39
2022-07-02 06:30 PDT,3.21
2022-07-02 06:45 PDT,3.04
2022-07-02 07:00 PDT,2.85
2022-07-02 07:15 PDT,2.67
2022-07-02 07:30 PDT,2.48
2022-07-02 07:45 PDT,2.3
2022-07-02 08:00 PDT,2.13
2022-07-02 08:15 PDT,1.96
2022-07-02 08:30 PDT,1.8
2022-07-02 08:45 PDT,1.65
2022-07-02 09:00 PDT,1.5
2022-07-02 09:15 PDT,1.36
2022-07-02 09:30 PDT,1.24
2022-07-02 09:45 PDT,1.13
2022-07-02 10:00 PDT,1.03
2022-07-02 10:15 PDT,0.95
2022-07-02 10:30 PDT,0.89
2022-07-02 10:45 PDT,0.85
2022-07-02 11:00 PDT,0.83
2022-07-02 11:15 PDT,0.84
2022-07-02 11:30 PDT,0.88
2022-07-02 11:45 PDT,0.94
2022-07-02 12:00 PDT,1.03
2022-07-02 12:15 PDT,1.13
2022-07-02 12:30 PDT,1.26
2022-07-02 12:45 PDT,1.4
2022-07-02 13:00 PDT,1.55
2022-07-02 13:15 PDT,1.71
2022-07-02 13:30 PDT,1.88
2022-07-02 13:45 PDT,2.04
